"﻿""Perioden""","""Regio's""","""Bevolking aan het begin van de periode (aantal)""","""Levend geboren kinderen (aantal)""","""Overledenen (aantal)""","""Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)""","""Bevolkingsgroei/Bevolkingsgroei, relatief (%)"""
"""2019""","""Aa en Hunze""",25386,176,280,1305,"0,23"
"""2020""","""Aa en Hunze""",25445,167,274,1395,"-0,18"
"""2021*""","""Aa en Hunze""",25399,198,284,1182,"0,69"
"""2019""","""Aalburg""",,,,,
"""2020""","""Aalburg""",,,,,
"""2021*""","""Aalburg""",,,,,
"""2019""","""Aalsmeer""",31728,236,270,1232,"0,41"
"""2020""","""Aalsmeer""",31859,271,277,1505,"0,41"
"""2021*""","""Aalsmeer""",31991,324,238,1432,"1,42"
"""2019""","""Aalten""",27011,240,256,725,"0,41"
"""2020""","""Aalten""",27121,254,289,710,0
"""2021*""","""Aalten""",27120,257,310,750,"-0,07"
"""2019""","""Ter Aar""",,,,,
"""2020""","""Ter Aar""",,,,,
"""2021*""","""Ter Aar""",,,,,
"""2019""","""Abcoude""",,,,,
"""2020""","""Abcoude""",,,,,
"""2021*""","""Abcoude""",,,,,
"""2019""","""Achtkarspelen""",27852,288,234,1089,"-0,03"
"""2020""","""Achtkarspelen""",27843,277,235,951,"0,2"
"""2021*""","""Achtkarspelen""",27900,284,306,888,"0,22"
"""2019""","""Alblasserdam""",20069,226,193,745,"0,48"
"""2020""","""Alblasserdam""",20165,205,192,820,"-0,14"
"""2021*""","""Alblasserdam""",20136,258,226,856,"-0,21"
"""2019""","""Albrandswaard""",25271,209,157,1284,"1,26"
"""2020""","""Albrandswaard""",25590,226,207,1399,"0,88"
"""2021*""","""Albrandswaard""",25814,242,191,1371,"0,45"
"""2019""","""Alkemade""",,,,,
"""2020""","""Alkemade""",,,,,
"""2021*""","""Alkemade""",,,,,
"""2019""","""Alkmaar""",108558,1109,899,4594,"0,81"
"""2020""","""Alkmaar""",109436,1025,969,4871,"0,42"
"""2021*""","""Alkmaar""",109896,1180,1027,4765,"0,8"
"""2019""","""Almelo""",72849,713,702,2592,"0,35"
"""2020""","""Almelo""",73107,673,795,2584,"0,03"
"""2021*""","""Almelo""",73132,651,858,2526,"0,03"
"""2019""","""Almere""",207904,2558,1025,8169,"1,92"
"""2020""","""Almere""",211893,2503,1084,8941,"1,33"
"""2021*""","""Almere""",214715,2617,1223,9039,"1,46"
"""2019""","""Alphen aan den Rijn""",110986,1110,869,3531,"0,82"
"""2020""","""Alphen aan den Rijn""",111897,1103,943,3932,"0,62"
"""2021*""","""Alphen aan den Rijn""",112587,1188,973,4073,"0,28"
"""2019""","""Alphen-Chaam""",10149,91,94,415,"0,53"
"""2020""","""Alphen-Chaam""",10203,90,104,458,"1,67"
"""2021*""","""Alphen-Chaam""",10373,102,93,430,"0,53"
"""2019""","""Altena""",55386,563,444,1328,"1,05"
"""2020""","""Altena""",55967,563,554,1558,"0,69"
"""2021*""","""Altena""",56352,639,516,1477,"1,16"
"""2019""","""Ambt Montfort""",,,,,
"""2020""","""Ambt Montfort""",,,,,
"""2021*""","""Ambt Montfort""",,,,,
"""2019""","""Ameland""",3673,33,26,164,"1,17"
"""2020""","""Ameland""",3716,30,23,176,"0,81"
"""2021*""","""Ameland""",3746,37,39,182,"0,24"
"""2019""","""Amerongen""",,,,,
"""2020""","""Amerongen""",,,,,
"""2021*""","""Amerongen""",,,,,
"""2019""","""Amersfoort""",156286,1744,1082,6569,"0,63"
"""2020""","""Amersfoort""",157276,1691,1153,7212,"0,12"
"""2021*""","""Amersfoort""",157462,1808,1213,7201,"0,71"
"""2019""","""Amstelveen""",90838,809,790,6915,"0,92"
"""2020""","""Amstelveen""",91675,786,916,7157,"-0,92"
"""2021*""","""Amstelveen""",90829,819,884,7564,"1,69"
"""2019""","""Amsterdam""",862965,10588,5248,49351,"1,13"
"""2020""","""Amsterdam""",872757,10345,5763,52250,"0,07"
"""2021*""","""Amsterdam""",873338,10694,5886,53244,"1,21"
"""2019""","""Andijk""",,,,,
"""2020""","""Andijk""",,,,,
"""2021*""","""Andijk""",,,,,
"""2019""","""Angerlo""",,,,,
"""2020""","""Angerlo""",,,,,
"""2021*""","""Angerlo""",,,,,
"""2019""","""Anna Paulowna""",,,,,
"""2020""","""Anna Paulowna""",,,,,
"""2021*""","""Anna Paulowna""",,,,,
"""2019""","""Apeldoorn""",162445,1521,1614,4717,"0,85"
"""2020""","""Apeldoorn""",163818,1530,1780,5467,"0,59"
"""2021*""","""Apeldoorn""",164781,1626,1702,5365,"0,49"
"""2019""","""Appingedam""",11721,79,157,574,"-0,67"
"""2020""","""Appingedam""",11642,75,157,681,"-1,25"
"""2021*""","""Appingedam""",,,,,
"""2019""","""Arcen en Velden""",,,,,
"""2020""","""Arcen en Velden""",,,,,
"""2021*""","""Arcen en Velden""",,,,,
"""2019""","""Arnhem""",159265,1590,1327,11335,"1,31"
"""2020""","""Arnhem""",161348,1600,1406,11031,"0,67"
"""2021*""","""Arnhem""",162424,1738,1460,12039,"0,95"
"""2019""","""Assen""",67963,576,657,3082,"0,94"
"""2020""","""Assen""",68599,654,683,3272,"0,35"
"""2021*""","""Assen""",68836,654,689,3438,"0,17"
"""2019""","""Asten""",16710,149,151,597,"0,07"
"""2020""","""Asten""",16721,154,171,522,"0,57"
"""2021*""","""Asten""",16817,176,176,544,"1,49"
"""2019""","""Axel""",,,,,
"""2020""","""Axel""",,,,,
"""2021*""","""Axel""",,,,,
"""2019""","""Baarle-Nassau""",6847,63,70,303,"0,18"
"""2020""","""Baarle-Nassau""",6859,50,89,265,"0,58"
"""2021*""","""Baarle-Nassau""",6899,50,87,255,"0,46"
"""2019""","""Baarn""",24767,235,317,1074,"0,41"
"""2020""","""Baarn""",24868,194,340,1231,"-0,31"
"""2021*""","""Baarn""",24792,234,357,1187,"0,35"
"""2019""","""Barendrecht""",48673,406,309,2277,"0,08"
"""2020""","""Barendrecht""",48714,406,392,2473,"-0,15"
"""2021*""","""Barendrecht""",48643,461,373,2273,"0,16"
"""2019""","""Barneveld""",57971,824,466,1838,"1,92"
"""2020""","""Barneveld""",59082,860,470,1869,"1,54"
"""2021*""","""Barneveld""",59992,917,519,2033,"0,99"
"""2019""","""Bathmen""",,,,,
"""2020""","""Bathmen""",,,,,
"""2021*""","""Bathmen""",,,,,
"""2019""","""Bedum""",,,,,
"""2020""","""Bedum""",,,,,
"""2021*""","""Bedum""",,,,,
"""2019""","""Beek (L.)""",15929,152,184,770,"-0,4"
"""2020""","""Beek (L.)""",15865,137,201,754,"0,06"
"""2021*""","""Beek (L.)""",15875,136,178,799,"-0,38"
"""2019""","""Beekdaelen""",35727,263,381,1672,"0,59"
"""2020""","""Beekdaelen""",35938,281,464,1730,"0,35"
"""2021*""","""Beekdaelen""",36065,287,508,1869,"-0,39"
"""2019""","""Beemster""",9748,106,62,468,"2,81"
"""2020""","""Beemster""",10022,91,71,487,"0,88"
"""2021*""","""Beemster""",10110,119,82,463,"5,97"
"""2019""","""Beesel""",13519,96,117,446,"-0,27"
"""2020""","""Beesel""",13482,102,125,474,"-0,24"
"""2021*""","""Beesel""",13450,100,159,391,"-0,28"
"""2019""","""Bellingwedde""",,,,,
"""2020""","""Bellingwedde""",,,,,
"""2021*""","""Bellingwedde""",,,,,
"""2019""","""Bemmel""",,,,,
"""2020""","""Bemmel""",,,,,
"""2021*""","""Bemmel""",,,,,
"""2019""","""Bennebroek""",,,,,
"""2020""","""Bennebroek""",,,,,
"""2021*""","""Bennebroek""",,,,,
"""2019""","""Berg en Dal""",34798,286,447,1391,"0,56"
"""2020""","""Berg en Dal""",34992,289,452,1418,"0,05"
"""2021*""","""Berg en Dal""",35010,305,477,1377,"-0,18"
"""2019""","""Bergambacht""",,,,,
"""2020""","""Bergambacht""",,,,,
"""2021*""","""Bergambacht""",,,,,
"""2019""","""Bergeijk""",18491,147,142,671,"0,78"
"""2020""","""Bergeijk""",18635,182,178,623,"0,64"
"""2021*""","""Bergeijk""",18754,176,172,683,"0,65"
"""2019""","""Bergen (L.)""",13140,95,152,468,"-0,42"
"""2020""","""Bergen (L.)""",13085,82,132,451,"0,18"
"""2021*""","""Bergen (L.)""",13108,114,145,473,"-0,02"
"""2019""","""Bergen (NH.)""",29974,145,424,1281,"-0,45"
"""2020""","""Bergen (NH.)""",29839,148,478,1323,"-0,42"
"""2021*""","""Bergen (NH.)""",29715,154,415,1190,"0,07"
"""2019""","""Bergen op Zoom""",66811,630,621,2065,"1,03"
"""2020""","""Bergen op Zoom""",67496,623,789,2356,"0,03"
"""2021*""","""Bergen op Zoom""",67514,659,768,2068,"0,54"
"""2019""","""Bergh""",,,,,
"""2020""","""Bergh""",,,,,
"""2021*""","""Bergh""",,,,,
"""2019""","""Bergschenhoek""",,,,,
"""2020""","""Bergschenhoek""",,,,,
"""2021*""","""Bergschenhoek""",,,,,
"""2019""","""Berkel en Rodenrijs""",,,,,
"""2020""","""Berkel en Rodenrijs""",,,,,
"""2021*""","""Berkel en Rodenrijs""",,,,,
"""2019""","""Berkelland""",43904,325,479,1341,"-0,36"
"""2020""","""Berkelland""",43747,310,480,1228,"0,23"
"""2021*""","""Berkelland""",43846,361,491,1230,"0,01"
"""2019""","""Bernheze""",30806,287,278,1111,"1,41"
"""2020""","""Bernheze""",31240,315,375,1217,"0,69"
"""2021*""","""Bernheze""",31455,290,313,1351,"0,77"
"""2019""","""Bernisse""",,,,,
"""2020""","""Bernisse""",,,,,
"""2021*""","""Bernisse""",,,,,
"""2019""","""Best""",29821,249,249,1080,"0,56"
"""2020""","""Best""",29988,285,278,1228,"0,76"
"""2021*""","""Best""",30216,332,211,1267,"1,29"
"""2019""","""Beuningen""",25882,239,238,1131,"0,03"
"""2020""","""Beuningen""",25890,260,194,1128,"1,03"
"""2021*""","""Beuningen""",26157,232,212,1069,"0,29"
"""2019""","""Beverwijk""",41176,457,399,1886,"1,09"
"""2020""","""Beverwijk""",41626,441,456,2097,"0,57"
"""2021*""","""Beverwijk""",41863,468,450,1970,"0,55"
"""2019""","""het Bildt""",,,,,
"""2020""","""het Bildt""",,,,,
"""2021*""","""het Bildt""",,,,,
"""2019""","""De Bilt""",42824,363,514,2250,"0,73"
"""2020""","""De Bilt""",43137,378,541,2453,"0,57"
"""2021*""","""De Bilt""",43384,412,540,2372,"0,29"
"""2019""","""Binnenmaas""",,,,,
"""2020""","""Binnenmaas""",,,,,
"""2021*""","""Binnenmaas""",,,,,
"""2019""","""Bladel""",20175,169,171,617,"1,07"
"""2020""","""Bladel""",20390,198,231,656,"0,68"
"""2021*""","""Bladel""",20529,175,188,685,"0,92"
"""2019""","""Blaricum""",11202,132,85,721,"3,02"
"""2020""","""Blaricum""",11540,136,85,727,"3,59"
"""2021*""","""Blaricum""",11954,140,117,734,"3,38"
"""2019""","""Bleiswijk""",,,,,
"""2020""","""Bleiswijk""",,,,,
"""2021*""","""Bleiswijk""",,,,,
"""2019""","""Bloemendaal""",23410,130,299,1377,"0,69"
"""2020""","""Bloemendaal""",23571,108,315,1530,"-0,39"
"""2021*""","""Bloemendaal""",23478,136,344,1392,"1,08"
"""2019""","""Boarnsterhim""",,,,,
"""2020""","""Boarnsterhim""",,,,,
"""2021*""","""Boarnsterhim""",,,,,
"""2019""","""Bodegraven""",,,,,
"""2020""","""Bodegraven""",,,,,
"""2021*""","""Bodegraven""",,,,,
"""2019""","""Bodegraven-Reeuwijk""",34462,401,272,1262,"1,19"
"""2020""","""Bodegraven-Reeuwijk""",34872,397,281,1326,"1,16"
"""2021*""","""Bodegraven-Reeuwijk""",35278,453,288,1195,"1,28"
"""2019""","""Boekel""",10588,99,90,336,"1,86"
"""2020""","""Boekel""",10785,126,109,367,"1,61"
"""2021*""","""Boekel""",10959,129,100,420,"0,57"
"""2019""","""Ten Boer""",,,,,
"""2020""","""Ten Boer""",,,,,
"""2021*""","""Ten Boer""",,,,,
"""2019""","""Bolsward""",,,,,
"""2020""","""Bolsward""",,,,,
"""2021*""","""Bolsward""",,,,,
"""2019""","""Borculo""",,,,,
"""2020""","""Borculo""",,,,,
"""2021*""","""Borculo""",,,,,
"""2019""","""Borger-Odoorn""",25372,209,262,1360,"0,74"
"""2020""","""Borger-Odoorn""",25559,178,278,1432,"0,15"
"""2021*""","""Borger-Odoorn""",25598,213,286,1255,"0,31"
"""2019""","""Borne""",23210,249,211,1048,"0,44"
"""2020""","""Borne""",23312,242,244,885,"1,53"
"""2021*""","""Borne""",23668,264,237,913,"1,41"
"""2019""","""Borsele""",22800,232,177,1000,"-0,27"
"""2020""","""Borsele""",22739,230,182,914,"0,35"
"""2021*""","""Borsele""",22818,221,224,897,"0,11"
"""2019""","""Boskoop""",,,,,
"""2020""","""Boskoop""",,,,,
"""2021*""","""Boskoop""",,,,,
"""2019""","""Boxmeer""",29065,239,265,1138,"1,03"
"""2020""","""Boxmeer""",29365,248,321,1322,"0,83"
"""2021*""","""Boxmeer""",29609,290,296,1495,"0,39"
"""2019""","""Boxtel""",30747,248,306,1044,"0,18"
"""2020""","""Boxtel""",30801,264,373,1160,"0,07"
"""2021*""","""Boxtel""",32973,299,380,1167,"0,51"
"""2019""","""Breda""",183873,1732,1691,8046,"0,11"
"""2020""","""Breda""",184069,1670,1835,7994,"0,03"
"""2021*""","""Breda""",184126,1873,1796,7862,"0,32"
"""2019""","""Breukelen""",,,,,
"""2020""","""Breukelen""",,,,,
"""2021*""","""Breukelen""",,,,,
"""2019""","""Brielle""",17182,146,159,762,"0,52"
"""2020""","""Brielle""",17271,176,158,826,"0,97"
"""2021*""","""Brielle""",17439,157,180,799,"1,58"
"""2019""","""Bronckhorst""",36212,246,351,1347,"-0,43"
